node_id; x     ; y
      1; 43,008; 60,738
      2; 16,437; 27,407
      3; 85,962; 61,944
      4; 7,731 ; 31,365
      5; 61,086; 87,372
      6; 42,313; 32,746
      7; 6,54  ; 47,462
      8; 26,364; 47,679
      9; 57,094; 65,144
     10; 47,378; 60,081
     11; 61,519; 34,56
     12; 33,109; 7,979
     13; 46,954; 44,649
     14; 81,608; 88,017
     15; 75,117; 24,493
     16; 59,469; 44,695
     17; 45,036; 37,15
     18; 68,625; 63,615
     19; 56,577; 41,509
     20; 54,991; 54,386
     21; 50,524; 48,57
     22; 29,716; 44,639
