idserie,mae,mape_percent,model
0,1.12,4.78,holt_winters_additive
1,0.37,1.65,holt_winters_additive
2,1.31,4.68,holt_winters_additive
3,0.91,4.42,holt_winters_additive
4,0.28,1.55,holt_winters_additive
5,1.15,6.43,holt_winters_additive
6,0.46,2.84,holt_winters_additive
7,0.64,4.82,holt_winters_additive
8,0.5,1.86,holt_winters_additive
9,0.41,2.68,holt_winters_additive
10,0.43,2.23,holt_winters_additive
11,0.31,2.54,holt_winters_additive
12,0.59,2.51,holt_winters_additive
13,1.95,7.38,holt_winters_additive
14,0.73,2.84,holt_winters_additive
15,1.16,4.67,holt_winters_additive
16,0.61,3.16,holt_winters_additive
17,0.72,5.31,holt_winters_additive
18,0.27,1.76,holt_winters_additive
19,0.68,5.84,holt_winters_additive
20,0.56,2.12,holt_winters_additive
21,2.13,7.86,holt_winters_additive
22,1.92,6.34,holt_winters_additive
23,1.05,6.14,holt_winters_additive
24,0.52,3.38,holt_winters_additive
25,0.79,4.14,holt_winters_additive
26,0.84,5.56,holt_winters_additive
27,0.89,5.06,holt_winters_additive
28,0.52,5.18,holt_winters_additive
29,0.95,4.33,holt_winters_additive
30,0.7,8.72,holt_winters_additive
31,0.79,6.07,holt_winters_additive
32,0.8,6.14,holt_winters_additive
33,1.22,4.7,holt_winters_additive
34,0.5,4.52,holt_winters_additive
35,0.38,2.23,holt_winters_additive
36,1.06,3.65,holt_winters_additive
37,1.04,4.17,holt_winters_additive
38,2.24,10.91,holt_winters_additive
39,0.96,4.4,holt_winters_additive
40,1.03,7.3,holt_winters_additive
41,0.2,1.89,holt_winters_additive
42,0.65,3.85,holt_winters_additive
43,0.27,1.18,holt_winters_additive
44,0.74,5.72,holt_winters_additive
45,0.12,0.78,holt_winters_additive
46,0.59,3.11,holt_winters_additive
47,0.08,1.6,holt_winters_additive
48,0.54,4.38,holt_winters_additive
49,0.56,2.97,holt_winters_additive
50,0.89,3.43,holt_winters_additive
51,0.95,6.13,holt_winters_additive
