idserie,month,periodo,forecast_dicembre,forecast_diviso_5
0,Dec-22,47,26.12,5.22
1,Dec-22,47,22.56,4.51
2,Dec-22,47,27.73,5.55
3,Dec-22,47,21.41,4.28
4,Dec-22,47,18.17,3.63
5,Dec-22,47,16.54,3.31
6,Dec-22,47,17.71,3.54
7,Dec-22,47,13.09,2.62
8,Dec-22,47,27.73,5.55
9,Dec-22,47,16.88,3.38
10,Dec-22,47,20.32,4.06
11,Dec-22,47,12.8,2.56
12,Dec-22,47,25.57,5.11
13,Dec-22,47,25.6,5.12
14,Dec-22,47,27.52,5.5
15,Dec-22,47,23.17,4.63
16,Dec-22,47,20.51,4.1
17,Dec-22,47,14.48,2.9
18,Dec-22,47,16.84,3.37
19,Dec-22,47,10.65,2.13
TOTALE,Dec-22,,,81.07
