idserie,year,month,periodo,actual,forecast,error,abs_error,ape_percent,model
0,2019,Oct-19,9,18.0,18.25,-0.25,0.25,1.39,holt_linear_trend
0,2019,Nov-19,10,17.0,18.57,-1.57,1.57,9.24,holt_linear_trend
0,2019,Dec-19,11,21.0,18.88,2.12,2.12,10.1,holt_linear_trend
0,2020,Oct-20,21,21.0,19.33,1.67,1.67,7.95,holt_linear_trend
0,2020,Nov-20,22,19.0,19.38,-0.38,0.38,2.0,holt_linear_trend
0,2020,Dec-20,23,21.0,19.42,1.58,1.58,7.52,holt_linear_trend
0,2021,Oct-21,33,21.0,22.03,-1.03,1.03,4.9,holt_linear_trend
0,2021,Nov-21,34,22.0,22.34,-0.34,0.34,1.55,holt_linear_trend
0,2021,Dec-21,35,26.0,22.66,3.34,3.34,12.85,holt_linear_trend
0,2022,Oct-22,45,23.0,22.86,0.14,0.14,0.61,holt_linear_trend
0,2022,Nov-22,46,22.0,23.08,-1.08,1.08,4.91,holt_linear_trend
0,2022,Dec-22,47,24.0,23.29,0.71,0.71,2.96,holt_linear_trend
1,2019,Oct-19,9,23.0,22.42,0.58,0.58,2.52,holt_linear_trend
1,2019,Nov-19,10,22.0,22.43,-0.43,0.43,1.95,holt_linear_trend
1,2019,Dec-19,11,24.0,22.45,1.55,1.55,6.46,holt_linear_trend
1,2020,Oct-20,21,22.0,21.87,0.13,0.13,0.59,holt_linear_trend
1,2020,Nov-20,22,22.0,21.75,0.25,0.25,1.14,holt_linear_trend
1,2020,Dec-20,23,24.0,21.62,2.38,2.38,9.92,holt_linear_trend
1,2021,Oct-21,33,22.0,22.14,-0.14,0.14,0.64,holt_linear_trend
1,2021,Nov-21,34,22.0,22.26,-0.26,0.26,1.18,holt_linear_trend
1,2021,Dec-21,35,22.0,22.37,-0.37,0.37,1.68,holt_linear_trend
1,2022,Oct-22,45,22.0,21.47,0.53,0.53,2.41,holt_linear_trend
1,2022,Nov-22,46,21.0,21.52,-0.52,0.52,2.48,holt_linear_trend
1,2022,Dec-22,47,23.0,21.57,1.43,1.43,6.22,holt_linear_trend
2,2019,Oct-19,9,21.0,19.61,1.39,1.39,6.62,holt_linear_trend
2,2019,Nov-19,10,20.0,19.78,0.22,0.22,1.1,holt_linear_trend
2,2019,Dec-19,11,22.0,19.94,2.06,2.06,9.36,holt_linear_trend
2,2020,Oct-20,21,23.0,22.1,0.9,0.9,3.91,holt_linear_trend
2,2020,Nov-20,22,22.0,22.35,-0.35,0.35,1.59,holt_linear_trend
2,2020,Dec-20,23,25.0,22.6,2.4,2.4,9.6,holt_linear_trend
2,2021,Oct-21,33,23.0,22.67,0.33,0.33,1.43,holt_linear_trend
2,2021,Nov-21,34,23.0,22.8,0.2,0.2,0.87,holt_linear_trend
2,2021,Dec-21,35,27.0,22.93,4.07,4.07,15.07,holt_linear_trend
2,2022,Oct-22,45,25.0,25.36,-0.36,0.36,1.44,holt_linear_trend
2,2022,Nov-22,46,26.0,25.74,0.26,0.26,1.0,holt_linear_trend
2,2022,Dec-22,47,30.0,26.13,3.87,3.87,12.9,holt_linear_trend
3,2019,Oct-19,9,16.0,16.67,-0.67,0.67,4.19,holt_linear_trend
3,2019,Nov-19,10,16.0,16.87,-0.87,0.87,5.44,holt_linear_trend
3,2019,Dec-19,11,18.0,17.07,0.93,0.93,5.17,holt_linear_trend
3,2020,Oct-20,21,18.0,17.07,0.93,0.93,5.17,holt_linear_trend
3,2020,Nov-20,22,17.0,17.1,-0.1,0.1,0.59,holt_linear_trend
3,2020,Dec-20,23,20.0,17.12,2.88,2.88,14.4,holt_linear_trend
3,2021,Oct-21,33,20.0,18.86,1.14,1.14,5.7,holt_linear_trend
3,2021,Nov-21,34,20.0,19.08,0.92,0.92,4.6,holt_linear_trend
3,2021,Dec-21,35,22.0,19.29,2.71,2.71,12.32,holt_linear_trend
3,2022,Oct-22,45,19.0,18.67,0.33,0.33,1.74,holt_linear_trend
3,2022,Nov-22,46,21.0,18.73,2.27,2.27,10.81,holt_linear_trend
3,2022,Dec-22,47,21.0,18.8,2.2,2.2,10.48,holt_linear_trend
4,2019,Oct-19,9,18.0,17.39,0.61,0.61,3.39,holt_linear_trend
4,2019,Nov-19,10,17.0,17.42,-0.42,0.42,2.47,holt_linear_trend
4,2019,Dec-19,11,18.0,17.46,0.54,0.54,3.0,holt_linear_trend
4,2020,Oct-20,21,18.0,16.87,1.13,1.13,6.28,holt_linear_trend
4,2020,Nov-20,22,17.0,16.84,0.16,0.16,0.94,holt_linear_trend
4,2020,Dec-20,23,18.0,16.8,1.2,1.2,6.67,holt_linear_trend
4,2021,Oct-21,33,17.0,17.86,-0.86,0.86,5.06,holt_linear_trend
4,2021,Nov-21,34,17.0,18.01,-1.01,1.01,5.94,holt_linear_trend
4,2021,Dec-21,35,19.0,18.16,0.84,0.84,4.42,holt_linear_trend
4,2022,Oct-22,45,18.0,17.14,0.86,0.86,4.78,holt_linear_trend
4,2022,Nov-22,46,17.0,17.19,-0.19,0.19,1.12,holt_linear_trend
4,2022,Dec-22,47,18.0,17.24,0.76,0.76,4.22,holt_linear_trend
5,2019,Oct-19,9,12.0,11.64,0.36,0.36,3.0,holt_linear_trend
5,2019,Nov-19,10,12.0,11.79,0.21,0.21,1.75,holt_linear_trend
5,2019,Dec-19,11,13.0,11.94,1.06,1.06,8.15,holt_linear_trend
5,2020,Oct-20,21,13.0,13.21,-0.21,0.21,1.62,holt_linear_trend
5,2020,Nov-20,22,14.0,13.4,0.6,0.6,4.29,holt_linear_trend
5,2020,Dec-20,23,14.0,13.58,0.42,0.42,3.0,holt_linear_trend
5,2021,Oct-21,33,14.0,13.94,0.06,0.06,0.43,holt_linear_trend
5,2021,Nov-21,34,13.0,14.18,-1.18,1.18,9.08,holt_linear_trend
5,2021,Dec-21,35,16.0,14.41,1.59,1.59,9.94,holt_linear_trend
5,2022,Oct-22,45,16.0,14.86,1.14,1.14,7.12,holt_linear_trend
5,2022,Nov-22,46,15.0,14.94,0.06,0.06,0.4,holt_linear_trend
5,2022,Dec-22,47,19.0,15.03,3.97,3.97,20.89,holt_linear_trend
6,2019,Oct-19,9,15.0,14.03,0.97,0.97,6.47,holt_linear_trend
6,2019,Nov-19,10,14.0,14.14,-0.14,0.14,1.0,holt_linear_trend
6,2019,Dec-19,11,15.0,14.26,0.74,0.74,4.93,holt_linear_trend
6,2020,Oct-20,21,14.0,14.0,0.0,0.0,0.0,holt_linear_trend
6,2020,Nov-20,22,14.0,14.0,0.0,0.0,0.0,holt_linear_trend
6,2020,Dec-20,23,17.0,14.0,3.0,3.0,17.65,holt_linear_trend
6,2021,Oct-21,33,15.0,15.19,-0.19,0.19,1.27,holt_linear_trend
6,2021,Nov-21,34,15.0,15.34,-0.34,0.34,2.27,holt_linear_trend
6,2021,Dec-21,35,18.0,15.49,2.51,2.51,13.94,holt_linear_trend
6,2022,Oct-22,45,16.0,16.36,-0.36,0.36,2.25,holt_linear_trend
6,2022,Nov-22,46,15.0,16.61,-1.61,1.61,10.73,holt_linear_trend
6,2022,Dec-22,47,17.0,16.86,0.14,0.14,0.82,holt_linear_trend
7,2019,Oct-19,9,13.0,12.72,0.28,0.28,2.15,holt_linear_trend
7,2019,Nov-19,10,12.0,12.82,-0.82,0.82,6.83,holt_linear_trend
7,2019,Dec-19,11,13.0,12.92,0.08,0.08,0.62,holt_linear_trend
7,2020,Oct-20,21,12.0,12.7,-0.7,0.7,5.83,holt_linear_trend
7,2020,Nov-20,22,13.0,12.79,0.21,0.21,1.62,holt_linear_trend
7,2020,Dec-20,23,13.0,12.88,0.12,0.12,0.92,holt_linear_trend
7,2021,Oct-21,33,12.0,12.67,-0.67,0.67,5.58,holt_linear_trend
7,2021,Nov-21,34,12.0,12.73,-0.73,0.73,6.08,holt_linear_trend
7,2021,Dec-21,35,13.0,12.8,0.2,0.2,1.54,holt_linear_trend
7,2022,Oct-22,45,13.0,12.28,0.72,0.72,5.54,holt_linear_trend
7,2022,Nov-22,46,12.0,12.24,-0.24,0.24,2.0,holt_linear_trend
7,2022,Dec-22,47,14.0,12.21,1.79,1.79,12.79,holt_linear_trend
8,2019,Oct-19,9,25.0,24.39,0.61,0.61,2.44,holt_linear_trend
8,2019,Nov-19,10,24.0,24.56,-0.56,0.56,2.33,holt_linear_trend
8,2019,Dec-19,11,26.0,24.72,1.28,1.28,4.92,holt_linear_trend
8,2020,Oct-20,21,25.0,25.29,-0.29,0.29,1.16,holt_linear_trend
8,2020,Nov-20,22,24.0,25.66,-1.66,1.66,6.92,holt_linear_trend
8,2020,Dec-20,23,27.0,26.02,0.98,0.98,3.63,holt_linear_trend
8,2021,Oct-21,33,26.0,24.83,1.17,1.17,4.5,holt_linear_trend
8,2021,Nov-21,34,25.0,24.87,0.13,0.13,0.52,holt_linear_trend
8,2021,Dec-21,35,27.0,24.9,2.1,2.1,7.78,holt_linear_trend
8,2022,Oct-22,45,27.0,25.56,1.44,1.44,5.33,holt_linear_trend
8,2022,Nov-22,46,26.0,25.62,0.38,0.38,1.46,holt_linear_trend
8,2022,Dec-22,47,28.0,25.69,2.31,2.31,8.25,holt_linear_trend
9,2019,Oct-19,9,12.0,11.53,0.47,0.47,3.92,holt_linear_trend
9,2019,Nov-19,10,12.0,11.74,0.26,0.26,2.17,holt_linear_trend
9,2019,Dec-19,11,12.0,11.96,0.04,0.04,0.33,holt_linear_trend
9,2020,Oct-20,21,14.0,12.5,1.5,1.5,10.71,holt_linear_trend
9,2020,Nov-20,22,12.0,12.6,-0.6,0.6,5.0,holt_linear_trend
9,2020,Dec-20,23,15.0,12.7,2.3,2.3,15.33,holt_linear_trend
9,2021,Oct-21,33,14.0,13.92,0.08,0.08,0.57,holt_linear_trend
9,2021,Nov-21,34,14.0,14.1,-0.1,0.1,0.71,holt_linear_trend
9,2021,Dec-21,35,16.0,14.28,1.72,1.72,10.75,holt_linear_trend
9,2022,Oct-22,45,15.0,15.75,-0.75,0.75,5.0,holt_linear_trend
9,2022,Nov-22,46,15.0,16.03,-1.03,1.03,6.87,holt_linear_trend
9,2022,Dec-22,47,17.0,16.32,0.68,0.68,4.0,holt_linear_trend
10,2019,Oct-19,9,21.0,21.58,-0.58,0.58,2.76,holt_linear_trend
10,2019,Nov-19,10,21.0,21.7,-0.7,0.7,3.33,holt_linear_trend
10,2019,Dec-19,11,22.0,21.82,0.18,0.18,0.82,holt_linear_trend
10,2020,Oct-20,21,21.0,20.0,1.0,1.0,4.76,holt_linear_trend
10,2020,Nov-20,22,20.0,20.01,-0.01,0.01,0.05,holt_linear_trend
10,2020,Dec-20,23,21.0,20.01,0.99,0.99,4.71,holt_linear_trend
10,2021,Oct-21,33,20.0,19.64,0.36,0.36,1.8,holt_linear_trend
10,2021,Nov-21,34,20.0,19.59,0.41,0.41,2.05,holt_linear_trend
10,2021,Dec-21,35,21.0,19.54,1.46,1.46,6.95,holt_linear_trend
10,2022,Oct-22,45,19.0,18.87,0.13,0.13,0.68,holt_linear_trend
10,2022,Nov-22,46,19.0,18.75,0.25,0.25,1.32,holt_linear_trend
10,2022,Dec-22,47,20.0,18.63,1.37,1.37,6.85,holt_linear_trend
11,2019,Oct-19,9,11.0,11.0,0.0,0.0,0.0,holt_linear_trend
11,2019,Nov-19,10,11.0,11.13,-0.13,0.13,1.18,holt_linear_trend
11,2019,Dec-19,11,12.0,11.27,0.73,0.73,6.08,holt_linear_trend
11,2020,Oct-20,21,11.0,10.78,0.22,0.22,2.0,holt_linear_trend
11,2020,Nov-20,22,11.0,10.85,0.15,0.15,1.36,holt_linear_trend
11,2020,Dec-20,23,12.0,10.91,1.09,1.09,9.08,holt_linear_trend
11,2021,Oct-21,33,12.0,10.92,1.08,1.08,9.0,holt_linear_trend
11,2021,Nov-21,34,11.0,10.97,0.03,0.03,0.27,holt_linear_trend
11,2021,Dec-21,35,13.0,11.02,1.98,1.98,15.23,holt_linear_trend
11,2022,Oct-22,45,12.0,11.83,0.17,0.17,1.42,holt_linear_trend
11,2022,Nov-22,46,12.0,12.0,0.0,0.0,0.0,holt_linear_trend
11,2022,Dec-22,47,13.0,12.17,0.83,0.83,6.38,holt_linear_trend
12,2019,Oct-19,9,14.0,13.94,0.06,0.06,0.43,holt_linear_trend
12,2019,Nov-19,10,15.0,14.11,0.89,0.89,5.93,holt_linear_trend
12,2019,Dec-19,11,17.0,14.28,2.72,2.72,16.0,holt_linear_trend
12,2020,Oct-20,21,17.0,16.33,0.67,0.67,3.94,holt_linear_trend
12,2020,Nov-20,22,18.0,16.44,1.56,1.56,8.67,holt_linear_trend
12,2020,Dec-20,23,22.0,16.56,5.44,5.44,24.73,holt_linear_trend
12,2021,Oct-21,33,19.0,20.06,-1.06,1.06,5.58,holt_linear_trend
12,2021,Nov-21,34,19.0,20.49,-1.49,1.49,7.84,holt_linear_trend
12,2021,Dec-21,35,23.0,20.92,2.08,2.08,9.04,holt_linear_trend
12,2022,Oct-22,45,22.0,22.22,-0.22,0.22,1.0,holt_linear_trend
12,2022,Nov-22,46,23.0,22.56,0.44,0.44,1.91,holt_linear_trend
12,2022,Dec-22,47,25.0,22.89,2.11,2.11,8.44,holt_linear_trend
13,2019,Oct-19,9,20.0,19.06,0.94,0.94,4.7,holt_linear_trend
13,2019,Nov-19,10,19.0,19.22,-0.22,0.22,1.16,holt_linear_trend
13,2019,Dec-19,11,21.0,19.39,1.61,1.61,7.67,holt_linear_trend
13,2020,Oct-20,21,21.0,19.0,2.0,2.0,9.52,holt_linear_trend
13,2020,Nov-20,22,21.0,19.0,2.0,2.0,9.52,holt_linear_trend
13,2020,Dec-20,23,22.0,19.0,3.0,3.0,13.64,holt_linear_trend
13,2021,Oct-21,33,23.0,22.89,0.11,0.11,0.48,holt_linear_trend
13,2021,Nov-21,34,21.0,23.22,-2.22,2.22,10.57,holt_linear_trend
13,2021,Dec-21,35,25.0,23.56,1.44,1.44,5.76,holt_linear_trend
13,2022,Oct-22,45,26.0,23.75,2.25,2.25,8.65,holt_linear_trend
13,2022,Nov-22,46,25.0,23.97,1.03,1.03,4.12,holt_linear_trend
13,2022,Dec-22,47,28.0,24.18,3.82,3.82,13.64,holt_linear_trend
14,2019,Oct-19,9,21.0,22.14,-1.14,1.14,5.43,holt_linear_trend
14,2019,Nov-19,10,22.0,22.39,-0.39,0.39,1.77,holt_linear_trend
14,2019,Dec-19,11,23.0,22.64,0.36,0.36,1.57,holt_linear_trend
14,2020,Oct-20,21,22.0,22.13,-0.13,0.13,0.59,holt_linear_trend
14,2020,Nov-20,22,23.0,22.16,0.84,0.84,3.65,holt_linear_trend
14,2020,Dec-20,23,26.0,22.2,3.8,3.8,14.62,holt_linear_trend
14,2021,Oct-21,33,25.0,23.56,1.44,1.44,5.76,holt_linear_trend
14,2021,Nov-21,34,25.0,23.69,1.31,1.31,5.24,holt_linear_trend
14,2021,Dec-21,35,27.0,23.82,3.18,3.18,11.78,holt_linear_trend
14,2022,Oct-22,45,25.0,24.56,0.44,0.44,1.76,holt_linear_trend
14,2022,Nov-22,46,25.0,24.69,0.31,0.31,1.24,holt_linear_trend
14,2022,Dec-22,47,26.0,24.82,1.18,1.18,4.54,holt_linear_trend
15,2019,Oct-19,9,13.0,13.0,0.0,0.0,0.0,holt_linear_trend
15,2019,Nov-19,10,15.0,13.0,2.0,2.0,13.33,holt_linear_trend
15,2019,Dec-19,11,17.0,13.0,4.0,4.0,23.53,holt_linear_trend
15,2020,Oct-20,21,17.0,15.81,1.19,1.19,7.0,holt_linear_trend
15,2020,Nov-20,22,16.0,15.97,0.03,0.03,0.19,holt_linear_trend
15,2020,Dec-20,23,20.0,16.13,3.87,3.87,19.35,holt_linear_trend
15,2021,Oct-21,33,20.0,17.94,2.06,2.06,10.3,holt_linear_trend
15,2021,Nov-21,34,18.0,18.24,-0.24,0.24,1.33,holt_linear_trend
15,2021,Dec-21,35,20.0,18.54,1.46,1.46,7.3,holt_linear_trend
15,2022,Oct-22,45,21.0,19.69,1.31,1.31,6.24,holt_linear_trend
15,2022,Nov-22,46,21.0,19.88,1.12,1.12,5.33,holt_linear_trend
15,2022,Dec-22,47,26.0,20.06,5.94,5.94,22.85,holt_linear_trend
16,2019,Oct-19,9,15.0,15.17,-0.17,0.17,1.13,holt_linear_trend
16,2019,Nov-19,10,15.0,15.33,-0.33,0.33,2.2,holt_linear_trend
16,2019,Dec-19,11,18.0,15.5,2.5,2.5,13.89,holt_linear_trend
16,2020,Oct-20,21,16.0,15.81,0.19,0.19,1.19,holt_linear_trend
16,2020,Nov-20,22,16.0,15.86,0.14,0.14,0.88,holt_linear_trend
16,2020,Dec-20,23,18.0,15.91,2.09,2.09,11.61,holt_linear_trend
16,2021,Oct-21,33,18.0,17.56,0.44,0.44,2.44,holt_linear_trend
16,2021,Nov-21,34,17.0,17.76,-0.76,0.76,4.47,holt_linear_trend
16,2021,Dec-21,35,19.0,17.96,1.04,1.04,5.47,holt_linear_trend
16,2022,Oct-22,45,18.0,18.42,-0.42,0.42,2.33,holt_linear_trend
16,2022,Nov-22,46,19.0,18.57,0.43,0.43,2.26,holt_linear_trend
16,2022,Dec-22,47,21.0,18.72,2.28,2.28,10.86,holt_linear_trend
17,2019,Oct-19,9,10.0,10.67,-0.67,0.67,6.7,holt_linear_trend
17,2019,Nov-19,10,9.0,10.87,-1.87,1.87,20.78,holt_linear_trend
17,2019,Dec-19,11,13.0,11.07,1.93,1.93,14.85,holt_linear_trend
17,2020,Oct-20,21,12.0,11.13,0.87,0.87,7.25,holt_linear_trend
17,2020,Nov-20,22,12.0,11.25,0.75,0.75,6.25,holt_linear_trend
17,2020,Dec-20,23,12.0,11.37,0.63,0.63,5.25,holt_linear_trend
17,2021,Oct-21,33,12.0,11.14,0.86,0.86,7.17,holt_linear_trend
17,2021,Nov-21,34,12.0,11.19,0.81,0.81,6.75,holt_linear_trend
17,2021,Dec-21,35,14.0,11.24,2.76,2.76,19.71,holt_linear_trend
17,2022,Oct-22,45,14.0,12.47,1.53,1.53,10.93,holt_linear_trend
17,2022,Nov-22,46,12.0,12.59,-0.59,0.59,4.92,holt_linear_trend
17,2022,Dec-22,47,14.0,12.71,1.29,1.29,9.21,holt_linear_trend
18,2019,Oct-19,9,12.0,12.0,0.0,0.0,0.0,holt_linear_trend
18,2019,Nov-19,10,13.0,12.0,1.0,1.0,7.69,holt_linear_trend
18,2019,Dec-19,11,14.0,12.0,2.0,2.0,14.29,holt_linear_trend
18,2020,Oct-20,21,13.0,12.75,0.25,0.25,1.92,holt_linear_trend
18,2020,Nov-20,22,13.0,12.79,0.21,0.21,1.62,holt_linear_trend
18,2020,Dec-20,23,16.0,12.83,3.17,3.17,19.81,holt_linear_trend
18,2021,Oct-21,33,14.0,14.17,-0.17,0.17,1.21,holt_linear_trend
18,2021,Nov-21,34,14.0,14.33,-0.33,0.33,2.36,holt_linear_trend
18,2021,Dec-21,35,16.0,14.5,1.5,1.5,9.38,holt_linear_trend
18,2022,Oct-22,45,15.0,14.5,0.5,0.5,3.33,holt_linear_trend
18,2022,Nov-22,46,15.0,14.6,0.4,0.4,2.67,holt_linear_trend
18,2022,Dec-22,47,17.0,14.7,2.3,2.3,13.53,holt_linear_trend
19,2019,Oct-19,9,10.0,9.81,0.19,0.19,1.9,holt_linear_trend
19,2019,Nov-19,10,10.0,9.92,0.08,0.08,0.8,holt_linear_trend
19,2019,Dec-19,11,10.0,10.04,-0.04,0.04,0.4,holt_linear_trend
19,2020,Oct-20,21,9.0,9.16,-0.16,0.16,1.78,holt_linear_trend
19,2020,Nov-20,22,10.0,9.11,0.89,0.89,8.9,holt_linear_trend
19,2020,Dec-20,23,11.0,9.06,1.94,1.94,17.64,holt_linear_trend
19,2021,Oct-21,33,11.0,9.89,1.11,1.11,10.09,holt_linear_trend
19,2021,Nov-21,34,9.0,9.96,-0.96,0.96,10.67,holt_linear_trend
19,2021,Dec-21,35,10.0,10.02,-0.02,0.02,0.2,holt_linear_trend
19,2022,Oct-22,45,11.0,10.11,0.89,0.89,8.09,holt_linear_trend
19,2022,Nov-22,46,10.0,10.18,-0.18,0.18,1.8,holt_linear_trend
19,2022,Dec-22,47,12.0,10.24,1.76,1.76,14.67,holt_linear_trend
20,2019,Oct-19,9,22.0,21.89,0.11,0.11,0.5,holt_linear_trend
20,2019,Nov-19,10,22.0,22.16,-0.16,0.16,0.73,holt_linear_trend
20,2019,Dec-19,11,23.0,22.42,0.58,0.58,2.52,holt_linear_trend
20,2020,Oct-20,21,23.0,22.83,0.17,0.17,0.74,holt_linear_trend
20,2020,Nov-20,22,23.0,22.98,0.02,0.02,0.09,holt_linear_trend
20,2020,Dec-20,23,26.0,23.12,2.88,2.88,11.08,holt_linear_trend
20,2021,Oct-21,33,24.0,24.83,-0.83,0.83,3.46,holt_linear_trend
20,2021,Nov-21,34,24.0,25.2,-1.2,1.2,5.0,holt_linear_trend
20,2021,Dec-21,35,26.0,25.57,0.43,0.43,1.65,holt_linear_trend
20,2022,Oct-22,45,26.0,24.94,1.06,1.06,4.08,holt_linear_trend
20,2022,Nov-22,46,25.0,25.11,-0.11,0.11,0.44,holt_linear_trend
20,2022,Dec-22,47,28.0,25.28,2.72,2.72,9.71,holt_linear_trend
21,2019,Oct-19,9,12.0,12.83,-0.83,0.83,6.92,holt_linear_trend
21,2019,Nov-19,10,13.0,13.33,-0.33,0.33,2.54,holt_linear_trend
21,2019,Dec-19,11,16.0,13.83,2.17,2.17,13.56,holt_linear_trend
21,2020,Oct-20,21,15.0,16.1,-1.1,1.1,7.33,holt_linear_trend
21,2020,Nov-20,22,15.0,16.31,-1.31,1.31,8.73,holt_linear_trend
21,2020,Dec-20,23,21.0,16.51,4.49,4.49,21.38,holt_linear_trend
21,2021,Oct-21,33,20.0,20.92,-0.92,0.92,4.6,holt_linear_trend
21,2021,Nov-21,34,22.0,21.57,0.43,0.43,1.95,holt_linear_trend
21,2021,Dec-21,35,25.0,22.22,2.78,2.78,11.12,holt_linear_trend
21,2022,Oct-22,45,22.0,24.58,-2.58,2.58,11.73,holt_linear_trend
21,2022,Nov-22,46,23.0,25.17,-2.17,2.17,9.43,holt_linear_trend
21,2022,Dec-22,47,32.0,25.75,6.25,6.25,19.53,holt_linear_trend
22,2019,Oct-19,9,26.0,26.83,-0.83,0.83,3.19,holt_linear_trend
22,2019,Nov-19,10,26.0,27.0,-1.0,1.0,3.85,holt_linear_trend
22,2019,Dec-19,11,30.0,27.17,2.83,2.83,9.43,holt_linear_trend
22,2020,Oct-20,21,29.0,29.33,-0.33,0.33,1.14,holt_linear_trend
22,2020,Nov-20,22,29.0,29.56,-0.56,0.56,1.93,holt_linear_trend
22,2020,Dec-20,23,32.0,29.78,2.22,2.22,6.94,holt_linear_trend
22,2021,Oct-21,33,31.0,29.86,1.14,1.14,3.68,holt_linear_trend
22,2021,Nov-21,34,32.0,30.01,1.99,1.99,6.22,holt_linear_trend
22,2021,Dec-21,35,32.0,30.16,1.84,1.84,5.75,holt_linear_trend
22,2022,Oct-22,45,31.0,32.06,-1.06,1.06,3.42,holt_linear_trend
22,2022,Nov-22,46,29.0,32.29,-3.29,3.29,11.34,holt_linear_trend
22,2022,Dec-22,47,33.0,32.52,0.48,0.48,1.45,holt_linear_trend
23,2019,Oct-19,9,15.0,15.06,-0.06,0.06,0.4,holt_linear_trend
23,2019,Nov-19,10,16.0,15.16,0.84,0.84,5.25,holt_linear_trend
23,2019,Dec-19,11,17.0,15.26,1.74,1.74,10.24,holt_linear_trend
23,2020,Oct-20,21,16.0,15.61,0.39,0.39,2.44,holt_linear_trend
23,2020,Nov-20,22,16.0,15.76,0.24,0.24,1.5,holt_linear_trend
23,2020,Dec-20,23,16.0,15.9,0.1,0.1,0.62,holt_linear_trend
23,2021,Oct-21,33,16.0,15.39,0.61,0.61,3.81,holt_linear_trend
23,2021,Nov-21,34,15.0,15.56,-0.56,0.56,3.73,holt_linear_trend
23,2021,Dec-21,35,17.0,15.72,1.28,1.28,7.53,holt_linear_trend
23,2022,Oct-22,45,16.0,16.06,-0.06,0.06,0.38,holt_linear_trend
23,2022,Nov-22,46,15.0,16.22,-1.22,1.22,8.13,holt_linear_trend
23,2022,Dec-22,47,19.0,16.39,2.61,2.61,13.74,holt_linear_trend
24,2019,Oct-19,9,11.0,10.61,0.39,0.39,3.55,holt_linear_trend
24,2019,Nov-19,10,11.0,10.78,0.22,0.22,2.0,holt_linear_trend
24,2019,Dec-19,11,13.0,10.94,2.06,2.06,15.85,holt_linear_trend
