idserie,month,periodo,actual,forecast,error,abs_error,ape_percent,model
0,Oct-22,45,23.0,23.45,-0.45,0.45,1.96,holt_winters_additive
0,Nov-22,46,22.0,22.78,-0.78,0.78,3.55,holt_winters_additive
0,Dec-22,47,24.0,26.12,-2.12,2.12,8.83,holt_winters_additive
1,Oct-22,45,22.0,21.56,0.44,0.44,2.0,holt_winters_additive
1,Nov-22,46,21.0,21.22,-0.22,0.22,1.05,holt_winters_additive
1,Dec-22,47,23.0,22.56,0.44,0.44,1.91,holt_winters_additive
2,Oct-22,45,25.0,25.4,-0.4,0.4,1.6,holt_winters_additive
2,Nov-22,46,26.0,24.73,1.27,1.27,4.88,holt_winters_additive
2,Dec-22,47,30.0,27.73,2.27,2.27,7.57,holt_winters_additive
3,Oct-22,45,19.0,19.41,-0.41,0.41,2.16,holt_winters_additive
3,Nov-22,46,21.0,19.08,1.92,1.92,9.14,holt_winters_additive
3,Dec-22,47,21.0,21.41,-0.41,0.41,1.95,holt_winters_additive
4,Oct-22,45,18.0,17.5,0.5,0.5,2.78,holt_winters_additive
4,Nov-22,46,17.0,16.84,0.16,0.16,0.94,holt_winters_additive
4,Dec-22,47,18.0,18.17,-0.17,0.17,0.94,holt_winters_additive
5,Oct-22,45,16.0,15.2,0.8,0.8,5.0,holt_winters_additive
5,Nov-22,46,15.0,15.2,-0.2,0.2,1.33,holt_winters_additive
5,Dec-22,47,19.0,16.54,2.46,2.46,12.95,holt_winters_additive
6,Oct-22,45,16.0,15.71,0.29,0.29,1.81,holt_winters_additive
6,Nov-22,46,15.0,15.38,-0.38,0.38,2.53,holt_winters_additive
6,Dec-22,47,17.0,17.71,-0.71,0.71,4.18,holt_winters_additive
7,Oct-22,45,13.0,12.42,0.58,0.58,4.46,holt_winters_additive
7,Nov-22,46,12.0,12.42,-0.42,0.42,3.5,holt_winters_additive
7,Dec-22,47,14.0,13.09,0.91,0.91,6.5,holt_winters_additive
8,Oct-22,45,27.0,26.39,0.61,0.61,2.26,holt_winters_additive
8,Nov-22,46,26.0,25.39,0.61,0.61,2.35,holt_winters_additive
8,Dec-22,47,28.0,27.73,0.27,0.27,0.96,holt_winters_additive
9,Oct-22,45,15.0,15.88,-0.88,0.88,5.87,holt_winters_additive
9,Nov-22,46,15.0,15.22,-0.22,0.22,1.47,holt_winters_additive
9,Dec-22,47,17.0,16.88,0.12,0.12,0.71,holt_winters_additive
10,Oct-22,45,19.0,19.65,-0.65,0.65,3.42,holt_winters_additive
10,Nov-22,46,19.0,19.32,-0.32,0.32,1.68,holt_winters_additive
