idserie, month , periodo, val  , val_originale, ricostruito
      0, Jan-19,       0, 16   ,            16,           0
      0, Feb-19,       1, 15   ,            15,           0
      0, Mar-19,       2, 16   ,            16,           0
      0, Apr-19,       3, 16   ,            16,           0
      0, May-19,       4, 17   ,            17,           0
      0, Jun-19,       5, 17   ,            17,           0
      0, Jul-19,       6, 18   ,            18,           0
      0, Aug-19,       7, 17   ,            17,           0
      0, Sep-19,       8, 18   ,            18,           0
      0, Oct-19,       9, 18   ,            18,           0
      0, Nov-19,      10, 17   ,            17,           0
      0, Dec-19,      11, 21   ,            21,           0
      0, Jan-20,      12, 19   ,            19,           0
      0, Feb-20,      13, 18.67,            14,           1
      0, Mar-20,      14, 19.0 ,            15,           1
      0, Apr-20,      15, 19.33,            16,           1
      0, May-20,      16, 19   ,            19,           0
      0, Jun-20,      17, 19   ,            19,           0
      0, Jul-20,      18, 20   ,            20,           0
      0, Aug-20,      19, 19   ,            19,           0
      0, Sep-20,      20, 19   ,            19,           0
      0, Oct-20,      21, 21   ,            21,           0
      0, Nov-20,      22, 19   ,            19,           0
      0, Dec-20,      23, 21   ,            21,           0
      0, Jan-21,      24, 19   ,            19,           0
      0, Feb-21,      25, 20   ,            20,           0
      0, Mar-21,      26, 20   ,            20,           0
      0, Apr-21,      27, 20   ,            20,           0
      0, May-21,      28, 19   ,            19,           0
      0, Jun-21,      29, 22   ,            22,           0
      0, Jul-21,      30, 21   ,            21,           0
      0, Aug-21,      31, 21   ,            21,           0
      0, Sep-21,      32, 22   ,            22,           0
      0, Oct-21,      33, 21   ,            21,           0
      0, Nov-21,      34, 22   ,            22,           0
      0, Dec-21,      35, 26   ,            26,           0
      0, Jan-22,      36, 21   ,            21,           0
      0, Feb-22,      37, 21   ,            21,           0
      0, Mar-22,      38, 21   ,            21,           0
      0, Apr-22,      39, 22   ,            22,           0
      0, May-22,      40, 22   ,            22,           0
      0, Jun-22,      41, 22   ,            22,           0
      0, Jul-22,      42, 22   ,            22,           0
      0, Aug-22,      43, 22   ,            22,           0
      0, Sep-22,      44, 23   ,            23,           0
      0, Oct-22,      45, 23   ,            23,           0
      0, Nov-22,      46, 22   ,            22,           0
      0, Dec-22,      47, 24   ,            24,           0
      1, Jan-19,       0, 22   ,            22,           0
      1, Feb-19,       1, 22   ,            22,           0
      1, Mar-19,       2, 22   ,            22,           0
      1, Apr-19,       3, 23   ,            23,           0
      1, May-19,       4, 23   ,            23,           0
      1, Jun-19,       5, 22   ,            22,           0
      1, Jul-19,       6, 23   ,            23,           0
      1, Aug-19,       7, 22   ,            22,           0
      1, Sep-19,       8, 22   ,            22,           0
      1, Oct-19,       9, 23   ,            23,           0
      1, Nov-19,      10, 22   ,            22,           0
      1, Dec-19,      11, 24   ,            24,           0
      1, Jan-20,      12, 23   ,            23,           0
      1, Feb-20,      13, 21.33,            19,           1
      1, Mar-20,      14, 21.33,            17,           1
      1, Apr-20,      15, 22.0 ,            20,           1
      1, May-20,      16, 22   ,            22,           0
      1, Jun-20,      17, 22   ,            22,           0
      1, Jul-20,      18, 22   ,            22,           0
      1, Aug-20,      19, 22   ,            22,           0
      1, Sep-20,      20, 22   ,            22,           0
      1, Oct-20,      21, 22   ,            22,           0
      1, Nov-20,      22, 22   ,            22,           0
      1, Dec-20,      23, 24   ,            24,           0
      1, Jan-21,      24, 21   ,            21,           0
      1, Feb-21,      25, 21   ,            21,           0
      1, Mar-21,      26, 21   ,            21,           0
      1, Apr-21,      27, 22   ,            22,           0
      1, May-21,      28, 22   ,            22,           0
      1, Jun-21,      29, 22   ,            22,           0
      1, Jul-21,      30, 21   ,            21,           0
      1, Aug-21,      31, 22   ,            22,           0
      1, Sep-21,      32, 22   ,            22,           0
      1, Oct-21,      33, 22   ,            22,           0
      1, Nov-21,      34, 22   ,            22,           0
      1, Dec-21,      35, 22   ,            22,           0
      1, Jan-22,      36, 21   ,            21,           0
      1, Feb-22,      37, 21   ,            21,           0
      1, Mar-22,      38, 21   ,            21,           0
      1, Apr-22,      39, 21   ,            21,           0
      1, May-22,      40, 21   ,            21,           0
      1, Jun-22,      41, 22   ,            22,           0
      1, Jul-22,      42, 22   ,            22,           0
      1, Aug-22,      43, 21   ,            21,           0
