idserie,month,periodo,val
35,Jan-19,0,19
35,Feb-19,1,18
35,Mar-19,2,18
35,Apr-19,3,18
35,May-19,4,19
35,Jun-19,5,18
35,Jul-19,6,19
35,Aug-19,7,17
35,Sep-19,8,18
35,Oct-19,9,18
35,Nov-19,10,18
35,Dec-19,11,19
35,Jan-20,12,17
35,Feb-20,13,15
35,Mar-20,14,14
35,Apr-20,15,17
35,May-20,16,18
35,Jun-20,17,18
35,Jul-20,18,18
35,Aug-20,19,18
35,Sep-20,20,18
35,Oct-20,21,17
35,Nov-20,22,18
35,Dec-20,23,19
35,Jan-21,24,17
35,Feb-21,25,17
35,Mar-21,26,18
35,Apr-21,27,17
35,May-21,28,18
35,Jun-21,29,18
35,Jul-21,30,17
35,Aug-21,31,17
35,Sep-21,32,17
35,Oct-21,33,17
35,Nov-21,34,17
35,Dec-21,35,18
35,Jan-22,36,17
35,Feb-22,37,16
35,Mar-22,38,17
35,Apr-22,39,17
35,May-22,40,17
35,Jun-22,41,17
35,Jul-22,42,17
35,Aug-22,43,16
35,Sep-22,44,17
35,Oct-22,45,17
35,Nov-22,46,17
35,Dec-22,47,18
